Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2022-09-12,3382150,1519324,187548,163430,24947,925590,6863
2022-09-13,3618354,1557686,200171,180183,26317,921108,7552
2022-09-14,3741978,1590666,202713,181619,28124,954907,7740
2022-09-15,3747731,1573907,197284,175672,27391,981703,7725
2022-09-16,3502358,1501956,184424,155750,26025,1015255,6797
2022-09-17,2350888,916215,99403,101734,15828,971118,2693
2022-09-18,1844317,712161,86329,79158,15588,935291,1944
2022-09-19,3369999,1490926,187831,164392,24491,909943,7155
2022-09-20,3767024,1554448,203873,188771,26148,930442,7962
2022-09-21,3878782,1543632,204572,188361,27479,946181,8112
2022-09-22,3732919,1433737,190703,174952,26136,938754,7883
2022-09-23,3626482,1413234,190670,168866,25738,981726,6902
2022-09-24,2377091,860948,98192,115822,15593,944900,1975
2022-09-25,1759832,660871,81212,87366,14770,861534,1582
2022-09-26,2812853,1206954,177235,153930,21532,868980,5848
2022-09-27,3204114,1290217,192275,176941,24344,886658,6744
2022-09-28,3712354,1541900,201525,179234,27423,930967,7903
2022-09-29,3707751,1503472,194288,173138,26857,960265,7738
2022-09-30,3503239,1477082,181549,164028,26614,997765,6623
2022-10-01,2032983,758826,72081,80394,13718,820869,1855
2022-10-02,1621851,591909,61918,68450,13897,793492,1302
2022-10-03,3370048,1426633,173268,153913,25390,880633,6824
2022-10-04,3397689,1354099,181887,166868,25282,833631,6825
2022-10-05,3077346,1206674,176091,158117,24305,816200,6012
2022-10-06,3848909,1554806,203783,182247,28527,981805,7907
2022-10-07,3591080,1480214,204261,166955,26725,1018633,6865
2022-10-08,2397249,888506,114687,110122,15448,965140,1975
2022-10-09,1917721,691656,97984,88783,14776,911141,2200
2022-10-10,2556722,1034288,163310,152488,17806,845129,4220
2022-10-11,3649405,1521587,203885,192887,26435,899509,7841
2022-10-12,3776129,1554226,203866,185488,28193,945786,7820
2022-10-13,3682799,1463795,195360,173174,26422,935038,7593
2022-10-14,3578772,1468602,186594,170188,26877,1000719,6877
2022-10-15,2363501,914771,100804,108230,15945,964859,1897
2022-10-16,1773903,705073,80395,85438,15338,898969,1385
2022-10-17,3314497,1430672,182855,170716,24045,860596,6952
2022-10-18,3693627,1510826,199026,191540,26135,894481,7917
2022-10-19,3814404,1545140,202921,185202,28002,916246,7934
2022-10-20,3810901,1532692,201886,180234,27649,970479,7784
2022-10-21,3570334,1452280,185797,166539,26385,997993,6848
2022-10-22,2430406,916539,97921,122863,15832,970862,90
2022-10-23,1740520,668183,76024,83665,14434,872119,19
2022-10-24,3357840,1432728,182390,161772,24643,887372,6929
2022-10-25,3712582,1512725,200671,183507,27080,903935,7864
2022-10-26,3794534,1539557,201843,181254,27891,932571,7978
2022-10-27,3892985,1543031,196789,179032,28035,971657,7848
2022-10-28,3624748,1455834,179633,159109,26237,992291,6647
2022-10-29,2440601,912721,86888,102975,15778,949043,42
2022-10-30,1875953,711004,69358,80576,15324,903170,5
2022-10-31,3410892,1394453,177547,157055,24178,862337,6759
2022-11-01,3706707,1501329,196102,178425,26993,911552,7756
2022-11-02,3788123,1549724,198277,181158,28493,918835,7788
2022-11-03,3802455,1521975,197940,178498,28364,941513,7676
2022-11-04,3586358,1459619,180084,161378,27340,975347,6813
2022-11-05,2449943,918127,96845,110793,16790,940206,2628
2022-11-06,2116063,648085,92648,94517,13926,779295,3122
2022-11-07,3456868,1478731,190295,168401,26193,901997,7365
2022-11-08,3431700,1356894,201028,183142,25939,888462,6463
2022-11-09,3772030,1517250,199030,180581,28589,921392,7722
2022-11-10,3802230,1516812,203722,180584,28385,976695,7749
2022-11-11,2994708,1077574,172756,154511,20634,870209,4558
2022-11-12,2431419,893837,94911,106101,15153,889070,2262
2022-11-13,1794024,662034,76869,76460,15544,859975,1658
2022-11-14,3401075,1441705,181582,165573,25728,889804,7135
2022-11-15,3713627,1483782,196179,182790,28155,903257,7776
2022-11-16,3751773,1484607,194893,179233,28574,912685,7589
2022-11-17,3797815,1493119,193797,178147,28778,962670,7633
2022-11-18,3539202,1412974,183576,161777,27236,981421,6546
2022-11-19,2323449,864766,97654,101076,16076,929687,1630
2022-11-20,1721187,645986,74524,74870,15556,830876,1079
2022-11-21,3363626,1393031,185570,166517,25766,896487,7017
2022-11-22,3548882,1447618,200264,183771,27957,982740,7462
2022-11-23,3263998,1358016,210438,184135,25032,983719,6862
2022-11-24,1382266,515903,90771,90057,18369,859064,2006
2022-11-25,2058658,842892,163354,148368,12834,766290,3361
2022-11-26,1999608,781665,105304,106685,12576,852829,2286
2022-11-27,1476228,562073,79973,76680,13063,814703,1408
2022-11-28,3265971,1397963,186710,163694,24969,904337,7120
2022-11-29,3596894,1455294,192494,181370,27009,891057,7510
2022-11-30,3568413,1356729,189152,177367,26469,857882,7204
2022-12-01,3770495,1459934,181825,166856,27018,931376,7538
2022-12-02,3600504,1395642,172860,152746,27007,933219,6576
2022-12-03,2291687,760109,87730,89976,15540,815868,1467
2022-12-04,1990479,681713,81381,80173,15763,804122,1266
2022-12-05,3481640,1429308,183238,164873,26409,873767,7013
2022-12-06,3753299,1414979,195892,178862,27305,878388,7447
2022-12-07,3835333,1442871,194436,178345,27941,899007,7526
2022-12-08,3931499,1480877,192958,182314,28292,948091,7541
2022-12-09,3710928,1386473,185104,165147,26213,964167,6379
2022-12-10,2663493,869320,112142,119858,16232,900034,1873
2022-12-11,1865579,618870,77607,74273,14949,777867,1103
2022-12-12,3466978,1384864,182973,163516,25771,876300,6838
2022-12-13,3763568,1437228,197613,183214,28234,908198,7570
2022-12-14,3777173,1435020,196921,183484,29081,940858,7400
2022-12-15,3726154,1363160,191261,173709,27034,931870,7001
2022-12-16,3270016,1221634,170615,151244,24074,917332,5823
2022-12-17,2577771,884283,114272,123286,16788,933667,2071
2022-12-18,1967199,668994,87146,87425,16036,842911,1487
2022-12-19,3381411,1352455,178278,159383,25529,886717,6591
2022-12-20,3586084,1398728,191991,173346,27148,923333,7046
2022-12-21,3563236,1393290,191684,168379,28480,953676,6993
2022-12-22,3187083,1269330,177675,147366,25244,936662,5728
2022-12-23,2738016,1057686,163716,138857,20359,812831,4523
2022-12-24,1411469,497129,61701,60373,12759,746316,1304
2022-12-25,1008452,321245,51896,47454,13709,730783,1005
2022-12-26,1812842,644828,87401,89137,9327,764686,2214
2022-12-27,2729514,1027687,178880,156503,21363,881989,5228
2022-12-28,2947028,1088279,182226,163499,23571,891790,5407
2022-12-29,3039432,1099513,189075,167129,23200,916565,5597
2022-12-30,3063480,1087122,193989,176215,22951,926881,5338
2022-12-31,1927101,651474,81590,81198,14090,686434,1847
2023-01-01,1675507,475226,67722,66309,11476,737533,1771
2023-01-02,1938154,739507,76247,72403,10136,692984,2671
2023-01-03,3175777,1268913,179109,167136,24868,815532,6853
2023-01-04,3413052,1391449,182834,170847,26848,839120,7282
2023-01-05,3428520,1378698,175278,166642,26808,859218,7042
2023-01-06,3229858,1319595,161259,142524,25824,873654,6050
2023-01-07,2116138,806981,87215,85244,14828,808570,2297
2023-01-08,1610764,628612,68647,64893,15157,739656,1529
2023-01-09,3145743,1353638,173594,157335,24923,829372,6629
2023-01-10,3469177,1412543,196817,179530,27309,859974,7414
2023-01-11,3508962,1421914,188904,174349,27991,864282,7166
2023-01-12,3472709,1364715,188850,168701,27119,881579,7150
2023-01-13,3270020,1345748,167475,147885,26085,922864,6042
2023-01-14,2072387,785952,84718,83565,15407,817979,2059
2023-01-15,1705804,621041,72479,70493,15198,757778,1510
2023-01-16,2172218,884152,82416,75892,14617,812347,3140
2023-01-17,3451604,1399573,193345,183674,27214,870650,7492
2023-01-18,3603344,1449590,198264,182209,29223,877542,7488
2023-01-19,3492226,1327804,179752,170122,26737,862336,6925
2023-01-20,3375887,1383181,173943,150003,26548,915022,6192
2023-01-21,2137169,823236,88435,84763,15580,826850,2058
2023-01-22,1593386,611151,64883,61728,14721,744230,1479
2023-01-23,3135214,1281037,172927,155439,25087,809261,6210
2023-01-24,3566756,1410676,196319,182127,27701,863886,7335
2023-01-25,3511071,1342717,188247,171748,26738,815210,6937
2023-01-26,3629029,1408545,190219,173696,27061,890830,7093
2023-01-27,3335372,1341589,178881,149763,26826,920095,6051
2023-01-28,2248107,861680,98609,89845,15577,841863,2333
2023-01-29,1637398,647923,73109,65422,15371,764625,1694
2023-01-30,3223530,1371537,180476,159176,25676,850406,6624
2023-01-31,3654404,1365926,198755,183484,27308,852930,7593
2023-02-01,3682758,1460146,184043,169846,28492,868518,7588
2023-02-02,3699932,1478477,187799,169864,27917,894790,7457
2023-02-03,3189550,1246821,158579,135908,26238,887417,5819
2023-02-04,1742435,598818,69433,64032,13439,737000,1555
2023-02-05,1625375,650623,69379,62639,15413,758529,1522
2023-02-06,3372445,1431232,181320,157813,26639,849008,7068
2023-02-07,3738539,1491417,201438,183389,28688,867827,7736
2023-02-08,3780682,1513135,197370,180852,29653,884755,7647
2023-02-09,3754859,1462622,193326,172507,28515,909007,7403
2023-02-10,3539529,1422781,179637,154760,28094,947991,6477
2023-02-11,2333625,865782,94434,88281,16638,865505,1615
2023-02-12,1746099,659496,67457,63383,16305,749533,1227
2023-02-13,3303337,1381524,180002,159741,25900,854394,6188
2023-02-14,3812943,1480867,200327,179811,29001,897813,7557
2023-02-15,3762817,1499155,197344,181992,29119,904926,7491
2023-02-16,3683782,1461093,189802,172189,28364,915758,7318
2023-02-17,3253165,1315466,172113,150151,26759,936689,5892
2023-02-18,2271106,822505,91478,93213,15612,860646,1266
2023-02-19,1824136,639980,75448,75064,16165,784650,959
2023-02-20,2238557,929439,90371,79984,14818,809578,1547
2023-02-21,3325542,1273578,194967,174283,27224,864047,6525
2023-02-22,3454362,1305744,193753,171187,27895,869960,6538
2023-02-23,3498367,1328927,188438,167193,27336,906322,6695
2023-02-24,3246699,1246797,179793,153058,26077,928057,5551
2023-02-25,2043635,800947,86403,81742,15461,831613,1396
2023-02-26,1625191,676041,74226,67702,15891,807475,1095
2023-02-27,3337916,1423292,180277,160346,26730,854625,6752
2023-02-28,3412079,1349173,177532,139326,26116,751643,6690
2023-03-01,3780713,1511792,192142,176661,29449,901530,7403
2023-03-02,3765925,1493623,195243,176678,28978,934427,7434
2023-03-03,3481830,1417670,172623,150603,27298,933992,6167
2023-03-04,2173217,870341,96720,84352,16263,844751,1449
2023-03-05,1772121,712408,81079,72918,16956,831376,1215
2023-03-06,3427019,1460599,185896,163314,27550,875696,6849
2023-03-07,3773780,1490272,205559,186615,28417,887227,7607
2023-03-08,3842861,1514182,203258,186940,30476,918426,7452
2023-03-09,3827656,1515155,201711,186197,29847,944406,7211
2023-03-10,3502339,1408909,182873,160550,28209,964271,6135
2023-03-11,2230530,821990,78979,88667,15493,842108,1796
2023-03-12,1773585,686039,75970,70403,16644,832873,1547
2023-03-13,3352388,1377045,179787,157310,26027,852961,6358
2023-03-14,3577250,1360497,189402,159031,26262,775384,6866
2023-03-15,3912366,1493605,205092,187128,29687,916918,7473
2023-03-16,3949788,1522248,209838,187573,30151,976134,7562
2023-03-17,3661519,1408472,199191,171443,28094,965113,6790
2023-03-18,2417873,921569,102021,101788,16828,924274,1839
2023-03-19,1894476,661736,82032,72936,16471,880371,1247
2023-03-20,3442589,1444823,191367,167256,26951,896248,6895
2023-03-21,3801084,1511670,213026,189925,29466,918684,7850
2023-03-22,3797399,1509096,202826,184321,29999,920292,7589
2023-03-23,3774396,1466839,200870,177877,29189,934634,7208
2023-03-24,3534300,1420346,188352,159574,27883,959147,6133
2023-03-25,2153554,784068,89101,82702,15556,830547,1765
2023-03-26,1939984,724870,83054,81819,16878,871824,1648
2023-03-27,3397258,1426226,192461,166543,26394,885237,6675
2023-03-28,3765920,1490842,207837,189294,28923,894984,7541
2023-03-29,3872948,1521968,208736,187520,29771,922903,7825
2023-03-30,3860289,1486845,200601,187344,29363,957635,7512
2023-03-31,3573735,1423686,184342,158879,28599,977962,6426
2023-04-01,2283533,842213,82140,88096,16428,856286,1520
2023-04-02,1949665,716880,76059,79027,17660,855422,1319
2023-04-03,3597785,1475017,182947,162370,27387,899177,7076
2023-04-04,3906882,1519740,200063,188769,29698,913561,7633
2023-04-05,3799965,1432322,205060,185283,29462,938533,7163
2023-04-06,3421271,1264311,193340,169192,27061,914933,6122
2023-04-07,3130675,1150222,187800,159262,23831,900772,4925
2023-04-08,2393347,882727,108740,99273,16256,872566,2393
2023-04-09,1855826,654259,98030,85620,19026,904505,1916
2023-04-10,3142740,1236634,191412,170713,24135,922582,6121
2023-04-11,3537843,1316710,210828,193831,27777,895251,7081
2023-04-12,3576687,1311418,207802,191574,28326,890891,6863
2023-04-13,3628304,1311906,200072,183658,28451,939226,6668
2023-04-14,3471420,1294357,190858,173790,27514,989052,5869
2023-04-15,2365464,890050,99793,103902,16804,916008,1743
2023-04-16,1864753,728462,80318,85026,16835,881923,1309
2023-04-17,3418834,1438043,188445,167759,27611,897271,6926
2023-04-18,3862133,1526133,207882,194548,29658,929653,7879
2023-04-19,3927706,1530452,206116,195085,30829,952981,7889
2023-04-20,4002433,1520258,208664,189699,30106,1014633,7577
2023-04-21,3492257,1310737,195442,174727,27777,994549,6005
2023-04-22,2506140,893014,106134,106032,16865,931077,1715
2023-04-23,1923243,673668,87793,79003,15947,880726,1326
2023-04-24,3561262,1466762,196593,173997,27254,911973,7020
2023-04-25,3956922,1529162,216767,192115,29504,927611,7806
2023-04-26,3994837,1531476,216097,191885,30191,947254,7758
2023-04-27,3999831,1506783,216674,184365,29969,981809,7564
2023-04-28,3703088,1424078,195436,160861,28306,996548,6441
2023-04-29,2179978,715608,85167,77009,15688,832504,1871
2023-04-30,1744098,578075,75065,65334,15451,786171,1355
2023-05-01,3664755,1465598,188566,167178,27445,922971,6960
2023-05-02,3961858,1498566,211550,197217,29472,916459,7749
2023-05-03,4030601,1533714,209450,195363,30850,940822,7862
2023-05-04,3985001,1497427,206323,189538,30449,966836,7417
2023-05-05,3759375,1450598,200675,170610,28952,1011491,6514
2023-05-06,2563102,934630,111525,103318,18349,976630,2584
2023-05-07,2033790,705419,92076,83007,17822,902067,2705
2023-05-08,3563340,1460932,198056,180789,27771,935045,7196
2023-05-09,3925555,1524892,221290,205069,29923,955033,7827
2023-05-10,4014009,1528140,221747,203414,31360,981586,7998
2023-05-11,4015942,1535264,210683,201006,30899,1016578,7619
2023-05-12,3723192,1436385,201367,185027,29397,1043802,6629
2023-05-13,2487178,918257,113810,109940,18340,1008311,1973
2023-05-14,1926966,690606,102178,101088,20222,981015,1654
2023-05-15,3553443,1440741,201209,184909,25892,947897,6956
2023-05-16,4002015,1519397,227489,207484,29747,965091,7930
2023-05-17,4104786,1518546,223059,206630,30423,985531,7118
2023-05-18,4082154,1492657,218955,198433,29842,1008886,7530
2023-05-19,3789929,1431269,208310,181114,28381,1024064,6362
2023-05-20,2314672,760830,102957,95625,16570,888784,1970
2023-05-21,2132724,727850,103484,91335,17545,959948,1919
2023-05-22,3571748,1446015,203122,186008,27038,942741,6935
2023-05-23,3929003,1500973,219619,214621,29538,953703,7928
2023-05-24,3960264,1499943,219886,208487,30495,983724,7667
2023-05-25,3859385,1459601,215946,201855,29311,1007341,7183
2023-05-26,3496511,1370252,207347,187188,27037,994185,5747
2023-05-27,2375741,848442,116439,120011,16731,925766,2913
2023-05-28,2029088,707787,102985,102009,17527,906089,2426
2023-05-29,1952779,758893,99456,86149,12121,836613,2520
2023-05-30,3714864,1438285,227623,205661,27645,959824,7398
2023-05-31,3911382,1480801,229227,211998,30078,971602,7691
2023-06-01,3894167,1457503,210483,191410,30088,1006107,7152
2023-06-02,3626490,1399462,202543,170399,29570,1011244,6470
2023-06-03,2411704,899212,115723,102668,18118,958346,1837
2023-06-04,1988330,714218,103120,88859,18429,931347,1573
2023-06-05,3544106,1432156,200806,183510,27920,938818,6892
2023-06-06,3929131,1474317,218376,213292,29999,945555,7795
2023-06-07,3743889,1390834,212982,202951,31147,941798,7334
2023-06-08,3268529,1216291,189487,176985,27689,932162,5503
2023-06-09,3425232,1256670,214001,185677,25845,1005974,5482
2023-06-10,2608756,892936,139304,117616,17996,991238,1978
2023-06-11,2075651,695200,106971,98115,17958,976811,1582
2023-06-12,3479404,1394575,202015,185343,27520,939370,6744
2023-06-13,3968160,1500122,233588,212364,30441,971010,7850
2023-06-14,3893073,1434687,235667,207746,30661,971437,7234
2023-06-15,3928393,1475300,228608,206188,31298,1028832,7390
2023-06-16,3395938,1300751,214883,177916,28693,1025514,5960
2023-06-17,2399521,872453,138654,111460,17967,1000053,2632
2023-06-18,1977582,707615,119996,95597,19384,971860,2029
2023-06-19,2636887,1075747,196645,168591,17494,964071,4094
2023-06-20,3782810,1434258,235806,224371,29482,979074,7540
2023-06-21,3902298,1430476,242162,221141,31019,999201,7551
2023-06-22,3782472,1367709,233588,208969,29220,1013372,6956
2023-06-23,3470575,1282954,222283,188373,28619,1022942,6167
2023-06-24,2467994,844674,128075,109217,16937,951605,2551
2023-06-25,2222704,689020,123527,113238,17103,948428,2248
2023-06-26,3341322,1314743,218393,185070,26823,962862,6516
2023-06-27,3744227,1391914,231738,209234,29246,969784,7633
2023-06-28,3634270,1305832,233457,207293,29092,988315,6762
2023-06-29,3653631,1307649,233625,200724,28876,1036568,6946
2023-06-30,3259767,1248822,219673,178064,28028,1043286,5817
2023-07-01,2239529,859295,120270,99597,17093,956890,2745
2023-07-02,1783757,668297,92780,74415,16717,832828,1988
2023-07-03,2662052,1117930,149641,128417,23795,860662,4718
2023-07-04,1791179,631937,96458,84010,13059,715453,2305
2023-07-05,3318379,1296583,211448,189434,28774,963342,6472
2023-07-06,3494806,1333630,209335,186822,29894,959636,6608
2023-07-07,3292266,1273900,197892,171597,28609,977009,5868
2023-07-08,2308794,867047,120931,107854,17879,949008,2695
2023-07-09,1776607,651953,95243,83783,16695,869686,1914
2023-07-10,3208730,1307297,196506,171497,27354,925569,6175
2023-07-11,3613670,1381701,221923,200151,30085,952112,7149
2023-07-12,3696737,1383484,218097,199169,31015,977898,6901
2023-07-13,3648007,1359302,218715,190952,29980,990761,6888
2023-07-14,3209393,1231624,198119,163840,28489,986748,5588
2023-07-15,2326054,889709,124007,107124,18043,983132,2409
2023-07-16,1599858,583645,89763,72406,16496,817659,1559
2023-07-17,3282092,1310810,205378,182216,27637,964710,6345
2023-07-18,3584819,1313665,225299,204203,29105,944208,6766
2023-07-19,3679343,1342781,224202,203857,30527,969944,6938
2023-07-20,3711017,1333607,224327,197400,29745,1004167,6858
2023-07-21,3227154,1211839,201177,176892,27485,1000836,5389
2023-07-22,2459990,894490,133328,93215,18283,1005606,2117
2023-07-23,1984503,723774,116485,94729,18021,988636,1511
2023-07-24,3255379,1302964,206025,180716,27222,948855,6175
2023-07-25,3630414,1307716,226651,211053,29285,939926,7050
2023-07-26,3758378,1382345,226363,210315,30501,977673,7298
2023-07-27,3580012,1313385,219460,187729,28692,973315,6788
2023-07-28,3266199,1246295,205845,170128,27522,1023958,5631
2023-07-29,2251524,856921,120457,100508,16747,957063,2314
2023-07-30,1952433,705279,116784,91861,17450,989071,2077
2023-07-31,3204920,1283835,205976,185348,26682,969712,6161
2023-08-01,3598379,1357252,221518,199547,29354,954649,7060
2023-08-02,3640307,1359233,219641,201003,30380,964978,6913
2023-08-03,3609076,1350472,220565,197044,30483,994978,6753
2023-08-04,3228510,1241122,193528,171533,28128,987994,5593
2023-08-05,2364364,879423,122596,114660,18835,969702,2838
2023-08-06,1910841,715130,107399,96010,18805,956499,2171
2023-08-07,3041001,1208443,191530,163799,27174,901342,5884
2023-08-08,3510047,1339073,218555,193867,29435,933802,7035
2023-08-09,3613062,1369095,224241,192028,30849,960119,6858
2023-08-10,3429304,1262073,208782,178768,29758,956875,6333
2023-08-11,3311714,1275618,206947,171116,29109,1018825,6119
2023-08-12,2366787,844749,131586,109269,18390,970527,2835
2023-08-13,1953558,690541,112932,93730,18071,965362,2196
2023-08-14,3092801,1246445,201352,168873,27185,939920,6051
2023-08-15,3385996,1273782,212116,187441,29122,924053,6680
2023-08-16,3447648,1300953,217398,190267,30763,956351,6652
2023-08-17,3385056,1275993,212321,180631,30045,975018,6360
2023-08-18,3182516,1208502,208639,174410,27468,999976,5361
2023-08-19,2358962,856814,144076,124069,19246,983353,2665
2023-08-20,1870625,689829,101351,94332,18004,958807,2065
2023-08-21,2971166,1199440,198534,170102,26325,929844,5857
2023-08-22,3352769,1263459,213724,194321,28913,928605,6463
2023-08-23,3412842,1272485,215258,192053,30187,954470,6566
2023-08-24,3297927,1201155,204439,176827,28689,958830,6191
2023-08-25,3034255,1143010,191119,153854,26511,953126,4891
2023-08-26,2281885,844428,122930,100194,18024,954892,2700
2023-08-27,1909806,702984,106913,85878,18022,943519,2088
2023-08-28,3121505,1240688,215843,170897,26613,932328,6179
2023-08-29,3401088,1284953,235092,189077,28250,930248,6677
2023-08-30,3462970,1267435,230912,180304,29450,959898,6639
2023-08-31,3450532,1315113,229477,176676,29312,1017088,6537
2023-09-01,3196284,1225370,202450,152974,28920,1025352,5372
2023-09-02,2307416,842591,132551,107230,18536,939962,2633
2023-09-03,2013506,692079,119566,90729,19598,939811,2185
2023-09-04,1879819,686326,114475,87538,12292,856049,2188
2023-09-05,3483755,1349438,239334,218899,29869,969997,6739
2023-09-06,3712071,1395521,238477,211126,32290,963978,6909
2023-09-07,3867746,1441437,226937,206910,31704,981360,7044
2023-09-08,3609701,1365283,225125,183785,30083,1015782,6257
2023-09-09,2425515,840378,125177,102373,17897,953082,2575
2023-09-10,1822230,626222,96835,81850,17916,870988,1623
2023-09-11,3596538,1400268,213280,191592,29057,911493,7182
2023-09-12,4014480,1519571,241196,221092,31779,955533,8031
2023-09-13,3938516,1482320,229765,210001,31900,936338,7787
2023-09-14,4045169,1517040,232039,206374,32717,989072,7847
2023-09-15,3694845,1398937,225904,192398,30957,1022344,6429
2023-09-16,2446139,881354,117997,115065,18923,972924,2864
2023-09-17,1988003,666392,107302,96229,18330,902993,2197
2023-09-18,3539047,1294777,215151,192103,28341,876621,7010
2023-09-19,4140301,1480863,241135,224426,31109,934708,8652
2023-09-20,4179861,1478618,242203,219540,32181,958671,8671
2023-09-21,4139288,1478606,232409,211375,31455,978561,8554
2023-09-22,3840412,1403811,223821,194197,30086,1020253,7175
2023-09-23,2116140,682092,96073,86985,15680,803480,2012
2023-09-24,1701656,562224,83669,75103,15255,742634,1863
2023-09-25,2885921,1035021,194611,175651,24609,812779,5320
2023-09-26,3946624,1393963,235620,214987,30558,909652,7655
2023-09-27,4074930,1463309,232823,212978,32758,943929,7877
2023-09-28,4051444,1433729,227819,201304,31804,965165,7587
2023-09-29,2467295,1053306,188008,128570,29054,826445,5183
2023-09-30,2205573,789587,104842,100703,16536,864863,1936
2023-10-01,1995361,669243,94222,92724,18586,898064,1984
2023-10-02,3649389,1390842,208901,183892,28672,931216,7289
2023-10-03,4008201,1471939,235305,214111,32295,937269,7953
2023-10-04,4026878,1467384,231999,209399,33186,949285,7928
2023-10-05,4030304,1457151,233470,207356,32414,973371,7814
2023-10-06,3639729,1325428,225040,193065,30643,1000568,6284
2023-10-07,2199478,720734,105975,95026,16919,842763,2010
2023-10-08,2044534,654443,98315,105952,18471,896319,2722
2023-10-09,2833654,1023375,206491,189567,21655,905490,4576
2023-10-10,3954925,1423532,239967,220445,31970,935467,8356
2023-10-11,4056504,1451764,236033,214437,33382,950384,8630
2023-10-12,4104598,1436967,248974,215284,32865,988904,8255
2023-10-13,3560964,1322576,226873,193658,31134,1002148,6429
2023-10-14,2219786,717223,110177,96158,17155,873287,2298
2023-10-15,2013096,689581,102493,100633,18455,911179,2148
2023-10-16,3661144,1381665,228147,203627,29453,925864,7735
2023-10-17,4021342,1439468,243917,222110,31921,944335,8354
2023-10-18,4074460,1440292,236072,213952,33615,948559,8356
2023-10-19,4121563,1440111,234999,212946,32909,986310,8148
2023-10-20,3616336,1232782,222385,192383,29766,961759,6272
2023-10-21,2438387,793917,113139,101963,17530,907106,2464
2023-10-22,1983271,678536,98471,93659,18954,928307,2021
2023-10-23,3667240,1375311,221569,199199,29261,925334,7615
2023-10-24,4040571,1431006,241544,218201,31757,932897,8176
2023-10-25,4120011,1443766,237292,217420,32821,947018,8368
2023-10-26,4142420,1431016,242021,215171,32549,985290,8147
2023-10-27,3853546,1348576,229895,203068,31164,1027312,6705
2023-10-28,2743759,874941,124172,139276,20126,1019478,2995
2023-10-29,1834459,589929,86843,80705,18145,871500,1766
2023-10-30,3623778,1314380,225140,197550,29075,893690,7287
2023-10-31,4016482,1334020,224816,203951,30712,873724,7789
2023-11-01,4043524,1369637,226067,208249,32374,927384,8010
2023-11-02,4082807,1380510,231370,206350,32242,953269,7997
2023-11-03,3808235,1307247,218703,193580,31816,980512,6755
2023-11-04,2588115,832986,122433,123922,19920,945189,2582
2023-11-05,2310457,614666,109258,109891,16889,791269,3407
2023-11-06,3686141,1349481,225898,198934,30167,923453,7474
2023-11-07,3655078,1270763,238656,215344,30843,891546,6785
2023-11-08,4066029,1401268,238727,213738,33515,937630,8306
2023-11-09,4020939,1376822,235844,210130,32982,980310,7929
2023-11-10,3611367,1250528,224512,200669,25506,974996,5596
2023-11-11,2588540,817146,122170,118398,18654,939492,2712
2023-11-12,1947270,642431,99171,91623,19187,891716,1958
2023-11-13,3597029,1320693,225204,194691,30479,907109,7353
2023-11-14,3991767,1382768,235487,214218,33027,921728,8271
2023-11-15,4036442,1389217,235718,214486,34166,941983,8322
2023-11-16,4048862,1391273,235070,207671,34102,978274,8010
2023-11-17,3741391,1303240,227909,201231,31496,999520,6792
2023-11-18,2477547,831053,124053,120273,19452,946515,2630
2023-11-19,1943926,657965,100792,100924,19835,867625,2058
2023-11-20,3647283,1300978,228502,203599,30889,925548,7426
2023-11-21,3774952,1254277,236079,213162,32139,977248,7467
2023-11-22,3378351,1160847,254968,220030,28409,985528,6524
2023-11-23,1628385,471662,116969,107690,21741,898291,2257
2023-11-24,2457591,807221,215833,197178,15381,818916,3718
2023-11-25,2123590,696466,124716,117682,14245,866561,2454
2023-11-26,1686490,566395,101486,95729,16900,864505,1834
2023-11-27,3523494,1253990,228127,200017,29418,921303,7294
2023-11-28,3916476,1279327,234794,216450,31716,914381,7835
2023-11-29,4032882,1268990,234738,212929,32809,915384,7851
2023-11-30,4072271,1340370,236142,210592,32650,945909,7737
2023-12-01,3723171,1226677,185151,164628,31284,947287,6432
2023-12-02,2748170,826725,126374,125483,19675,903346,2618
2023-12-03,1827959,553618,87340,76999,18450,778118,1633
2023-12-04,3709458,1312507,223257,201080,30841,900224,7559
2023-12-05,3991835,1346216,243329,224065,33235,914419,7964
2023-12-06,4116059,1350594,230920,211076,33502,936802,7951
2023-12-07,4088438,1314833,231114,204586,32511,960536,7424
2023-12-08,3863961,1261796,225208,198539,31875,972091,6435
2023-12-09,2922085,828894,156237,147745,20580,944411,3181
2023-12-10,1838048,539117,90884,82225,17542,779314,1648
2023-12-11,3642743,1213923,219022,191110,29271,894318,6949
2023-12-12,4051574,1309303,236348,219393,33458,935591,7655
2023-12-13,4067457,1314167,238451,215546,34323,959767,7859
2023-12-14,4122091,1296909,236516,213415,33406,988876,7414
2023-12-15,3845234,1246465,235800,208572,32517,1011336,6540
2023-12-16,2866544,814457,149340,149013,20483,972314,3085
2023-12-17,1954707,569005,96415,88502,18445,809015,1787
2023-12-18,3314782,1082334,201289,174850,28309,809201,5381
2023-12-19,3912934,1275002,244031,213625,32542,946648,7555
2023-12-20,3838407,1245547,236060,206420,33205,964384,7363
2023-12-21,3675448,1200899,229252,199411,31713,976632,6860
